,question_path,additional_question_paths,mark_scheme_paths,examiners_report,model_answer_link,qualification,subject,exam_board,paper,year,topic,marks_available,marks_gained
10,8fm0-01-que-20230516-03,[],"['8fm0-01-rms-20230824-03-01.jpg', '8fm0-01-rms-20230824-03-02.jpg']","Nearly all candidates made some attempt at this question. 

In part (a), the first B mark was almost always given for rotation, most did also achieve the second B, though some added extra information eg 'around origin' or gave an incorrect description e.g. 'z-plane', 'x = 0' so lost the second B mark.

In part (b), this was generally correct and explained using all examples in the scheme. 

In part (c), many gained this mark. Where it was lost this was either due to occasional errors in multiplication or, more often, giving the answers to 3sf rather than exact figures as requested. A few just stated the matrices in the correct order but did not proceed to multiply.",https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2023,Matrices,6,"{'22 Apr 2025 19:37': [3, 'No time recorded'], '22 Apr 2025 19:38': [6, 1.1111111111111112]}"
11,8fm0-01-que-20230516-04,[],"['8fm0-01-rms-20230824-04-01.jpg', '8fm0-01-rms-20230824-04-02.jpg']","This question enabled all students to access some part of the question whilst also providing challenge to the more able. 

In (i) part (a), this was generally answered very well with the majority of candidates achieving full marks. The common errors that did occur were usually either the incorrect denominator $ 225 i 24− $ or students not giving the answer in the correct form. Occasionally we saw some state the correct answer but without the working to demonstrate their understanding and thus, lost marks.

In (i) part (b), most candidates realised that they could use trial and error, there were lots of students who calculated this by hand instead of using the calculator. Frequent incorrect answers were $ n = 0 $ which almost satisfies the demand of the question except it is not a positive integer, or $ n = 2 $. 

(ii) This proved a very challenging question for most students. Many blank or no scoring attempts were seen however a good number of students were able to gain the first mark from either $ z = 3 $ or $ 2a^2 + 2b^2 = 9 $ and whilst it was certainly less common for them to able to deal with the argument correctly some did go on to achieve the second M for a valid attempt to find the complex number, with an incorrect argument generally leading to $ a = \frac{3}{2} $ and $ b = \frac{3\sqrt{3}}{2} $. For those who did manage to correctly identify the modulus and argument they nearly always went on to achieve a correct answer, with the occasional loss of sign on the real part.",https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2023,Complex numbers,8,"{'23 Apr 2025 11:34': [5, 'No time recorded']}"
12,8fm0-01-que-20230516-05,[],"['8fm0-01-rms-20230824-05-01.jpg', '8fm0-01-rms-20230824-05-02.jpg']","In part (a), the majority of candidates used the correct volume of revolution formula, taken around the y-axis, to set up and process the associated integration. The main errors seem in this part were either the use of an incorrect upper limit on the integration, usually $ \sqrt{2} $, or taking the revolution around the x-axis. However, many of the cohort obtained the correct mass of 5700 kg.

In parts (b) and (c), many of the candidates gave valid comments relating to the limitation and evaluation of the model and thus obtained the two available marks. Any marks lost here were mainly due to references to density or an incorrect calculation of errors.",https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2023,Further calculus,8,{}
13,8fm0-01-que-20230516-06,[],"['8fm0-01-rms-20230824-06-01.jpg', '8fm0-01-rms-20230824-06-02.jpg', '8fm0-01-rms-20230824-06-03.jpg']","This was another good question with the first three parts being accessed by the majority with part (d) providing a good level of challenge. 

In part (a), this was generally well answered with most candidates using the dot product. They were able to show the answer was equal to zero, although a minority of candidates failed to conclude that the lines were perpendicular or in fact incorrectly concluded parallel. Some failed to show full use of dot product, instead just stating = 0 and therefore gained no marks despite correct conclusion.

In part (b), this part was also well answered although some candidates left their answer as a scalar equation, other errors were to attempt the Cartesian equation of a line. Those who proceeded to a cartesian equation most likely did so correctly with either achieving $ 2x + 3y - 2z = 0 $.

In part (c), those who obtained both marks in (b) typically also obtained the mark here, it was pleasing to see that most gave a minimal conclusion, though that was not necessary for this mark.",https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2023,Further vectors,11,{}
14,8fm0-01-que-20230516-07,[],"['8fm0-01-rms-20230824-07-01.jpg', '8fm0-01-rms-20230824-07-02.jpg', '8fm0-01-rms-20230824-07-03.jpg', '8fm0-01-rms-20230824-07-04.jpg']","In part (a), the first part of this question was well done overall, with the best solutions coming from candidates who drew a scale drawing of the perpendicular bisector required. It was necessary for equal scales on both axes to ensure that the y-intercept was negative. Quite a few went to the trouble of calculating the exact equation of the line and then drew it correctly, not required for the marks in this case. Shading the correct side of the line caused a few more difficulties with some not knowing how to decide which side to shade. Occasionally the shading was bounded which cost them the final mark.",https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2023,Complex numbers,9,"{'23 Apr 2025 12:51': [9, 'No time recorded']}"
15,8fm0-01-que-20230516-08,[],"['8fm0-01-rms-20230824-08-01.jpg', '8fm0-01-rms-20230824-08-02.jpg']","In part (a), a standard question that was very well answered though there were some unavoidable errors when expanding $ (2r - 1)^2 $, most frequently with the $ 2r $ term. The majority of candidates knew their sum formulae and where there was an error it was generally incorrectly stating $ \sum_{r=1}^{n} 1 = 1 $ which resulted in the last 3 marks being lost.",https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2023,Further algebra and functions,8,{}
16,8fm0-01-que-20230516-09,[],"['8fm0-01-rms-20230824-09-01.jpg', '8fm0-01-rms-20230824-09-02.jpg', '8fm0-01-rms-20230824-09-03.jpg']","In part (i), the vast majority of the candidates expanded along the first row to find the determinant of the matrix P and much success was achieved. The most common error was not applying the change of sign rule which resulted in the loss of the first two marks at least.",https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2023,Matrices,9,{}
17,8fm0-01-que-20230516-10,[],"['8fm0-01-rms-20230824-10-01.jpg', '8fm0-01-rms-20230824-10-02.jpg', '8fm0-01-rms-20230824-10-03.jpg']","In part (i), the vast majority of the candidates correctly expressed z as a function of w and then substituted it into the given quartic equation.",https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Core Pure 1,2023,Further algebra and functions,12,{}
18,8fm0-23-que-20220524-01,[],['8fm0-23-rms-20220818-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Statistics 1,2022,Hypothesis testing,7,{}
19,8fm0-23-que-20220524-02,[],['8fm0-23-rms-20220818-02.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Statistics 1,2022,Poisson and binomial distributions,10,{}
20,8fm0-23-que-20220524-03,[],['8fm0-23-rms-20220818-03.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Statistics 1,2022,Chi squared tests,9,{}
21,8fm0-23-que-20220524-04,[],['8fm0-23-rms-20220818-04.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Statistics 1,2022,Discrete probability distributions,14,{}
22,8fm0-23-que-20230520-01,[],['8fm0-23-rms-20230817-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Statistics 1,2023,Discrete probability distributions,6,{}
23,8fm0-23-que-20230520-02,[],['8fm0-23-rms-20230817-02.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Statistics 1,2023,Chi squared tests,6,{}
24,8fm0-23-que-20230520-03,[],['8fm0-23-rms-20230817-03.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Statistics 1,2023,Poisson and binomial distributions,16,{}
25,8fm0-23-que-20230520-04,[],['8fm0-23-rms-20230817-04.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Statistics-1-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Statistics 1,2023,Chi squared tests,12,{}
26,8fm0-25-que-20220524-01,[],['8fm0-25-rms-20220818-01-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Mechanics 1,2022,"Work, energy and power",5,{}
27,8fm0-25-que-20220524-02,[],"['8fm0-25-rms-20220818-02-01.jpg', '8fm0-25-rms-20220818-02-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Mechanics 1,2022,Momentum and impulse,8,{}
28,8fm0-25-que-20220524-03,[],['8fm0-25-rms-20220818-03-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Mechanics 1,2022,"Work, energy and power",12,{}
29,8fm0-25-que-20220524-04,[],"['8fm0-25-rms-20220818-04-01.jpg', '8fm0-25-rms-20220818-04-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1-AS/MA/June%202022%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Mechanics 1,2022,Elastic collisions in one dimension,15,{}
30,8fm0-25-que-20230520-01,[],"['8fm0-25-rms-20230817-01-01.jpg', '8fm0-25-rms-20230817-01-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Mechanics 1,2023,Elastic collisions in one dimension,8,{}
31,8fm0-25-que-20230520-02,[],['8fm0-25-rms-20230817-02-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Mechanics 1,2023,"Work, energy and power",8,{}
32,8fm0-25-que-20230520-03,[],"['8fm0-25-rms-20230817-03-01.jpg', '8fm0-25-rms-20230817-03-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Mechanics 1,2023,"Work, energy and power",10,{}
33,8fm0-25-que-20230520-04,[],"['8fm0-25-rms-20230817-04-01.jpg', '8fm0-25-rms-20230817-04-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Mechanics-1-AS/MA/June%202023%20MA.pdf,AS level,Further Maths,['Edexcel'],Further Mechanics 1,2023,Elastic collisions in one dimension,14,{}
34,8fm0-27-que-20220524-01-01,[],"['8fm0-27-rms-20220818-01-01.jpg', '8fm0-27-rms-20220818-01-02.jpg']",,,AS level,Further Maths,['Edexcel'],Decision 1,2022,Algorithms on graphs,9,{}
35,8fm0-27-que-20220524-02-01,[],['8fm0-27-rms-20220818-02-01.jpg'],,,AS level,Further Maths,['Edexcel'],Decision 1,2022,Critical path analysis,8,{}
36,8fm0-27-que-20220524-03-01,[],"['8fm0-27-rms-20220818-03-01.jpg', '8fm0-27-rms-20220818-03-02.jpg']",,,AS level,Further Maths,['Edexcel'],Decision 1,2022,Algorithms on graphs,14,{}
37,8fm0-27-que-20220524-04-01,['8fm0-27-que-20220524-04-02.jpg'],['8fm0-27-rms-20220818-04-01.jpg'],,,AS level,Further Maths,['Edexcel'],Decision 1,2022,Linear programming,9,{}
38,8fm0-27-que-20230520-01,[],['8fm0-27-rms-20230817-01-01.jpg'],,,AS level,Further Maths,['Edexcel'],Decision 1,2023,Algorithms and graph theory,4,{}
39,8fm0-27-que-20230520-02,[],"['8fm0-27-rms-20230817-02-01.jpg', '8fm0-27-rms-20230817-02-02.jpg']",,,AS level,Further Maths,['Edexcel'],Decision 1,2023,Critical path analysis,10,{}
40,8fm0-27-que-20230520-03,[],"['8fm0-27-rms-20230817-03-01.jpg', '8fm0-27-rms-20230817-03-02.jpg', '8fm0-27-rms-20230817-03-03.jpg']",,,AS level,Further Maths,['Edexcel'],Decision 1,2023,Algorithms on graphs,11,{}
41,8fm0-27-que-20230520-04,[],['8fm0-27-rms-20230817-04-01.jpg'],,,AS level,Further Maths,['Edexcel'],Decision 1,2023,Linear programming,7,{}
42,8fm0-27-que-20230520-05,[],['8fm0-27-rms-20230817-05-01.jpg'],,,AS level,Further Maths,['Edexcel'],Decision 1,2023,Algorithms on graphs,8,{}
43,9fm0-01-que-20220526-01,[],"['9fm0-01-rms-20220818-01-01.jpg', '9fm0-01-rms-20220818-01-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2022,Complex numbers,6,{}
44,9fm0-01-que-20220526-02,[],"['9fm0-01-rms-20220818-02-01.jpg', '9fm0-01-rms-20220818-02-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2022,Hyperbolic functions,4,{}
45,9fm0-01-que-20220526-03,[],['9fm0-01-rms-20220818-03-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2022,Differential equations,6,{}
46,9fm0-01-que-20220526-04,[],['9fm0-01-rms-20220818-04-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2022,Further algebra and functions,7,{}
47,9fm0-01-que-20220526-05,[],['9fm0-01-rms-20220818-05-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2022,Matrices,6,{}
48,9fm0-01-que-20220526-06,[],['9fm0-01-rms-20220818-06-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2022,Further calculus,7,{}
49,9fm0-01-que-20220526-07,[],"['9fm0-01-rms-20220818-07-01.jpg', '9fm0-01-rms-20220818-07-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2022,Complex numbers,7,{}
50,9fm0-01-que-20220526-08,[],"['9fm0-01-rms-20220818-08-01.jpg', '9fm0-01-rms-20220818-08-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2022,Further calculus,12,{}
51,9fm0-01-que-20220526-09,[],['9fm0-01-rms-20220818-09-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2022,Hyperbolic functions,6,{}
52,9fm0-01-que-20220526-10,[],"['9fm0-01-rms-20220818-10-01.jpg', '9fm0-01-rms-20220818-10-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2022,Differential equations,13,{}
53,9fm0-01-que-20230526-01,[],['9fm0-01-rms-20230817-01-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2023,Further algebra and functions,5,{}
54,9fm0-01-que-20230526-02,[],"['9fm0-01-rms-20230817-02-01.jpg', '9fm0-01-rms-20230817-02-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2023,Further calculus,6,{}
55,9fm0-01-que-20230526-03,[],"['9fm0-01-rms-20230817-03-01.jpg', '9fm0-01-rms-20230817-03-02.jpg', '9fm0-01-rms-20230817-03-03.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2023,Complex numbers,10,{}
56,9fm0-01-que-20230526-04,[],"['9fm0-01-rms-20230817-04-01.jpg', '9fm0-01-rms-20230817-04-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2023,Proof,5,{}
57,9fm0-01-que-20230526-05,[],"['9fm0-01-rms-20230817-05-01.jpg', '9fm0-01-rms-20230817-05-02.jpg', '9fm0-01-rms-20230817-05-03.jpg', '9fm0-01-rms-20230817-05-04.jpg', '9fm0-01-rms-20230817-05-05.jpg', '9fm0-01-rms-20230817-05-06.jpg', '9fm0-01-rms-20230817-05-07.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2023,Further vectors,12,{}
58,9fm0-01-que-20230526-06,[],"['9fm0-01-rms-20230817-06-01.jpg', '9fm0-01-rms-20230817-06-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2023,Differential equations,12,{}
59,9fm0-01-que-20230526-07,[],"['9fm0-01-rms-20230817-07-01.jpg', '9fm0-01-rms-20230817-07-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2023,Further algebra and functions,12,{}
60,9fm0-01-que-20230526-08,[],"['9fm0-01-rms-20230817-08-01.jpg', '9fm0-01-rms-20230817-08-02.jpg', '9fm0-01-rms-20230817-08-03.jpg', '9fm0-01-rms-20230817-08-04.jpg', '9fm0-01-rms-20230817-08-05.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-1/MA/June%202023%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 1,2023,Matrices,13,{}
61,9fm0-02-que-20220609-01,[],['9fm0-02-rms-20220818-01-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2022,Complex numbers,3,{}
62,9fm0-02-que-20220609-02,[],"['9fm0-02-rms-20220818-02-01.jpg', '9fm0-02-rms-20220818-02-02.jpg', '9fm0-02-rms-20220818-02-03.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2022,Matrices,8,{}
63,9fm0-02-que-20220609-03,[],"['9fm0-02-rms-20220818-03-01.jpg', '9fm0-02-rms-20220818-03-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2022,Matrices,11,{}
64,9fm0-02-que-20220609-04,[],"['9fm0-02-rms-20220818-04-01.jpg', '9fm0-02-rms-20220818-04-02.jpg', '9fm0-02-rms-20220818-04-03.jpg', '9fm0-02-rms-20220818-04-04.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2022,Complex numbers,6,{}
65,9fm0-02-que-20220609-05,[],['9fm0-02-rms-20220818-05-01.jpg'],,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2022,Further calculus,6,{}
66,9fm0-02-que-20220609-06,[],"['9fm0-02-rms-20220818-06-01.jpg', '9fm0-02-rms-20220818-06-02.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2022,Further algebra and functions,10,{}
67,9fm0-02-que-20220609-07,[],"['9fm0-02-rms-20220818-07-01.jpg', '9fm0-02-rms-20220818-07-02.jpg', '9fm0-02-rms-20220818-07-03.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2022,Further calculus,10,{}
68,9fm0-02-que-20220609-08,[],"['9fm0-02-rms-20220818-08-01.jpg', '9fm0-02-rms-20220818-08-02.jpg', '9fm0-02-rms-20220818-08-03.jpg']",,https://pmt.physicsandmathstutor.com/download/Maths/A-level/Papers/Edexcel-Further/Core-Pure-2/MA/June%202022%20MA.pdf,A level,Further Maths,['Edexcel'],Core Pure 2,2022,Further vectors,13,{}
